batch_size,seq_len,kernel,cuda_time_ms,cpu_time_ms,calls,cuda_time_pct
1,128,aten::addmm,2.7612,3.5647,144,18.95
1,128,ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_stages_32x6_nn,1.5014,0.0,72,10.3
1,128,ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_nn,1.2447,0.0,72,8.54
1,128,aten::linear,1.2122,0.2034,3,8.32
1,128,aten::matmul,1.2122,0.1762,3,8.32
1,128,aten::mm,1.2122,0.1457,3,8.32
1,128,_ZN7cutlass7Kernel2I55cutlass_75_tensorop_f16_s1688gemm_f16_256x128_tn_align1EEvNT_6ParamsE,1.2109,0.0,3,8.31
1,128,aten::scaled_dot_product_attention,0.3739,1.997,36,2.57
1,128,aten::_scaled_dot_product_efficient_attention,0.3739,1.7695,36,2.57
1,128,aten::_efficient_attention_forward,0.3739,1.1649,36,2.57
2,128,aten::addmm,4.4164,3.2446,144,19.43
2,128,ampere_fp16_s16816gemm_fp16_128x128_ldg8_relu_f2f_stages_32x5_nn,2.6624,0.0,72,11.71
2,128,aten::linear,2.0347,0.1766,3,8.95
2,128,aten::matmul,2.0347,0.1495,3,8.95
2,128,aten::mm,2.0347,0.1189,3,8.95
2,128,_ZN7cutlass7Kernel2I55cutlass_75_tensorop_f16_s1688gemm_f16_128x256_tn_align1EEvNT_6ParamsE,2.0347,0.0,3,8.95
2,128,ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_nn,1.754,0.0,72,7.72
2,128,aten::mul,0.6127,1.937,144,2.7
2,128,aten::add,0.5351,2.3657,150,2.35
2,128,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13AUnaryFunctorIN3c104HalfES4_S4_NS0_15binary_internal10MulFunctorIfEEEESt5arrayIPcLy2EEEEviT0_T1_,0.4313,0.0,108,1.9
4,128,aten::addmm,7.5376,3.2551,144,19.28
4,128,aten::linear,4.0382,0.1734,3,10.33
4,128,aten::matmul,4.0382,0.1463,3,10.33
4,128,aten::mm,4.0382,0.1161,3,10.33
4,128,_ZN7cutlass7Kernel2I55cutlass_75_tensorop_f16_s1688gemm_f16_256x128_tn_align1EEvNT_6ParamsE,4.0382,0.0,3,10.33
4,128,ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_stages_32x6_nn,3.0659,0.0,72,7.84
4,128,ampere_fp16_s16816gemm_fp16_256x128_ldg8_relu_f2f_stages_32x3_nn,2.4257,0.0,36,6.2
4,128,_ZN7cutlass7Kernel2I65cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_32x6_nn_align8EEvNT_6ParamsE,2.046,0.0,36,5.23
4,128,aten::mul,0.97,1.9476,144,2.48
4,128,aten::add,0.7802,1.9258,150,2.0
8,128,aten::addmm,14.5022,2.8456,144,18.16
8,128,_ZN7cutlass7Kernel2I55cutlass_75_tensorop_f16_s1688gemm_f16_256x128_tn_align1EEvNT_6ParamsE,11.1311,0.0,4,13.94
8,128,ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_stages_32x1_nn,8.8868,0.0,78,11.13
8,128,aten::linear,8.4865,0.1848,3,10.63
8,128,aten::matmul,8.4865,0.1515,3,10.63
8,128,aten::mm,8.4865,0.1223,3,10.63
8,128,ampere_fp16_s16816gemm_fp16_128x128_ldg8_relu_f2f_stages_64x3_nn,5.3518,0.0,39,6.7
8,128,aten::mul,1.7474,1.7242,144,2.19
8,128,ampere_fp16_s16816gemm_fp16_128x128_ldg8_relu_f2f_stages_32x5_nn,1.438,0.0,39,1.8
8,128,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13AUnaryFunctorIN3c104HalfES4_S4_NS0_15binary_internal10MulFunctorIfEEEESt5arrayIPcLy2EEEEviT0_T1_,1.3699,0.0,117,1.72
16,128,ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_stages_32x1_nn,29.6379,0.0,170,19.38
16,128,aten::addmm,25.2102,3.4964,144,16.48
16,128,_ZN7cutlass7Kernel2I55cutlass_75_tensorop_f16_s1688gemm_f16_128x256_tn_align1EEvNT_6ParamsE,21.5782,0.0,4,14.11
16,128,aten::linear,16.2671,0.3008,3,10.64
16,128,aten::matmul,16.2671,0.2743,3,10.64
16,128,aten::mm,16.2671,0.2426,3,10.64
16,128,aten::mul,3.6162,1.957,144,2.36
16,128,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13AUnaryFunctorIN3c104HalfES4_S4_NS0_15binary_internal10MulFunctorIfEEEESt5arrayIPcLy2EEEEviT0_T1_,3.391,0.0,129,2.22
16,128,aten::add,2.217,2.1069,150,1.45
16,128,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_15CUDAFunctor_addIN3c104HalfEEESt5arrayIPcLy3EEEEviT0_T1_,1.9299,0.0,128,1.26
32,128,ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_stages_32x1_nn,68.3925,0.0,183,18.77
32,128,aten::addmm,53.8508,3.011,144,14.78
32,128,_ZN7cutlass7Kernel2I55cutlass_75_tensorop_f16_s1688gemm_f16_128x256_tn_align1EEvNT_6ParamsE,47.7681,0.0,4,13.11
32,128,aten::linear,35.259,0.1933,3,9.68
32,128,aten::matmul,35.259,0.1638,3,9.68
32,128,aten::mm,35.259,0.1312,3,9.68
32,128,aten::mul,14.7839,1.5875,144,4.06
32,128,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13AUnaryFunctorIN3c104HalfES4_S4_NS0_15binary_internal10MulFunctorIfEEEESt5arrayIPcLy2EEEEviT0_T1_,10.998,0.0,138,3.02
32,128,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_15CUDAFunctor_addIN3c104HalfEEESt5arrayIPcLy3EEEEviT0_T1_,9.4632,0.0,138,2.6
32,128,aten::add,9.4058,1.7548,150,2.58
